rooftop_area,dwellers,roof_material,annual_rainfall,aquifer_depth,soil_type,slope,drainage_density,runoff_coefficient,deterministic_liters,observed_liters,harvested_m3,annual_demand_m3,harvest_demand_ratio,suitability_score,cost_estimation
149.80284918067395,1,metal,1532.2115078431473,7.2,sandy,15.576547592970554,0.7923075386793171,0.99,227234.35,216653.13,216.653,49.275,4.397,0.5667,149972.17
111.70414192972892,2,metal,1003.7495745970364,66.8,sandy,6.507643680320027,1.0078937064799367,0.953,106848.33,88307.67,88.308,98.55,0.896,0.3836,69155.02
158.86131228604154,4,tiles,734.9193027979045,40.3,loamy,5.305666833628757,0.5794963465819997,0.786,91808.33,84695.59,84.696,197.1,0.43,0.3591,72974.38
211.38179138448152,4,concrete,862.8253857476562,2.4,sandy,7.028253929546259,1.2350296324945458,0.914,166625.06,158485.43,158.485,197.1,0.804,0.3699,121229.44
105.95079751659983,1,metal,999.933105411875,22.6,loamy,2.1238740325187755,1.095996194888552,0.94,99600.34,94174.98,94.175,49.275,1.911,0.5186,72947.68
105.95178258304917,7,thatch,832.2912986800255,33.8,sandy,3.432410666822425,1.2512024919496596,0.6,52912.91,40033.9,40.034,344.925,0.116,0.3551,39615.52
214.7527689304435,3,metal,1372.4405069694137,26.5,clay,3.6721138133475835,1.75808933612948,0.938,276455.29,246211.18,246.211,147.825,1.666,0.4503,177423.28
166.04608374917453,2,metal,934.6255809469885,30.3,rocky,3.5101066133444125,0.884910944912023,0.92,142721.34,119841.29,119.841,98.55,1.216,0.3701,97660.53
91.83153684390288,6,metal,1132.297972736997,73.5,sandy,16.66798283059594,1.0550877036857254,0.99,102940.86,99735.22,99.735,295.65,0.337,0.2188,74024.29
152.55360261515787,1,metal,929.1604544389012,30.2,sandy,7.393922399867024,0.5072803469955447,0.962,136346.33,125275.05,125.275,49.275,2.542,0.5092,95420.39
92.19493843125227,6,thatch,886.9282983531988,34.7,loamy,2.64231986031617,0.37366296913062746,0.576,47095.93,37607.92,37.608,295.65,0.127,0.3653,37521.81
92.05621478578459,3,metal,1212.534578010879,61.4,loamy,4.927436030603423,0.9962921867248038,0.93,103763.78,89589.58,89.59,147.825,0.606,0.3781,68695.82
134.51773629396206,3,concrete,1219.8723970065034,63.9,clay,7.102228307055702,1.0514600999910795,0.929,152437.28,117246.53,117.247,147.825,0.793,0.3382,90817.46
10.0,5,asphalt,328.25005982991456,8.6,loamy,6.489487768772381,1.3447005744966087,0.915,3003.93,2546.52,2.547,246.375,0.01,0.3107,7607.91
16.504930049218032,5,tiles,893.2525042699658,56.9,clay,7.181246332746285,1.2876761598723923,0.822,12124.89,9072.78,9.073,246.375,0.037,0.2748,12341.74
86.26274824554164,2,concrete,1617.3982380612904,39.6,loamy,11.936814993898395,1.127177300232379,0.948,132200.97,120684.71,120.685,98.55,1.225,0.3473,86727.2
59.23013277993457,4,asphalt,743.84338303824,12.4,sandy,4.530273812950112,1.842436830370378,0.901,39700.57,32099.81,32.1,197.1,0.163,0.3462,30182.9
138.85483995571644,3,tiles,1058.9238721258048,22.6,sandy,9.44114416598287,0.8439593551782457,0.815,119830.29,109638.29,109.638,147.825,0.742,0.3366,84668.46
65.51855546872736,6,metal,1336.5412984430664,5.5,loamy,6.9687381112849405,0.9051815763154658,0.99,86692.57,95088.71,95.089,295.65,0.322,0.3308,69129.23
35.261777919882505,1,tiles,512.1499771343501,30.1,loamy,13.334044323270913,1.1416245172680566,0.82,14817.29,13787.66,13.788,49.275,0.28,0.253,17080.87
207.93892613529323,3,asphalt,769.3529361669898,21.9,loamy,2.6363035111739057,0.40804785560350687,0.863,138111.65,116794.46,116.794,147.825,0.79,0.4201,97534.08
106.45342197080787,5,concrete,349.840100676304,31.8,sandy,14.354181821973983,1.3439741817933255,0.931,34684.65,35712.87,35.713,246.375,0.145,0.2299,37073.06
124.05169228127544,3,tiles,936.5607149160423,47.3,rocky,4.440736427263559,1.035722549293752,0.798,92768.43,71815.84,71.816,147.825,0.486,0.2989,63595.96
34.51510882719259,2,thatch,1034.691551003924,59.1,sandy,3.320152047070673,1.0451110634889975,0.626,22363.84,18566.95,18.567,98.55,0.188,0.3624,19591.68
87.33703652848904,1,tiles,1125.2086591650223,49.2,sandy,12.657238241997378,1.2713997492552442,0.834,81911.81,70664.72,70.665,49.275,1.434,0.3562,56132.53
126.65535538259196,1,metal,1450.8214538183188,54.9,rocky,7.176882409514275,1.1879535715936536,0.969,178116.01,142193.48,142.193,49.275,2.886,0.4651,106148.01
50.94038535466183,4,metal,922.2282815884204,69.5,clay,11.616661774030902,1.205519859458508,0.925,43451.53,35903.2,35.903,197.1,0.182,0.235,32400.06
142.5418811007403,6,concrete,496.5825932949664,70.2,clay,3.390780745076932,0.8051594638736244,0.901,63741.37,51593.2,51.593,295.65,0.175,0.3304,52348.24
83.96167860487171,2,metal,591.671694653865,69.1,rocky,2.5647751045609195,1.7847371248565016,0.958,47581.01,37009.58,37.01,98.55,0.376,0.3117,37700.96
102.49837501240339,4,thatch,633.2029217726758,13.9,rocky,4.843545271481002,0.2689224626039377,0.602,39050.17,31730.96,31.731,197.1,0.161,0.2674,36850.87
83.89760326623619,1,concrete,972.6918933654631,21.6,loamy,1.8380791109708767,0.6572098090105435,0.863,70415.36,68134.02,68.134,49.275,1.383,0.4783,54941.35
231.13669107053627,1,concrete,1722.4910701653534,41.2,sandy,4.8311301688046155,0.7237493035825422,0.875,348422.79,316634.46,316.634,49.275,6.426,0.8598,218094.35
119.19016651572396,9,tiles,874.7852991752557,30.0,sandy,12.051465915860437,0.6396618498597839,0.824,85932.39,84461.32,84.461,443.475,0.19,0.2606,67595.81
56.53734426264598,2,concrete,1380.9193740141031,12.3,sandy,8.006703132671934,0.12670022046976182,0.891,69552.32,79255.17,79.255,98.55,0.804,0.3585,58206.84
169.35269472619134,2,concrete,860.0816665981946,24.4,sandy,6.292122863954805,1.8220276612941613,0.938,136623.57,109468.42,109.468,98.55,1.111,0.4039,87616.32
46.74938100173867,3,metal,493.45441359558276,78.1,sandy,5.291615604458397,1.3212509665334522,0.961,22164.58,18084.27,18.084,147.825,0.122,0.3339,20525.5
132.53181570028534,4,concrete,614.265756436296,29.1,clay,4.147778321310706,0.6843256410824325,0.925,75274.11,69961.61,69.962,197.1,0.355,0.3365,62218.12
10.0,2,asphalt,644.8206184139488,34.7,sandy,7.039479491434131,1.3485877673395235,0.884,5702.89,4790.11,4.79,98.55,0.049,0.3074,8874.06
40.30883706609417,1,tiles,857.2133009580753,2.5,sandy,3.7340825149244283,0.9197374197267729,0.778,26895.58,23254.07,23.254,49.275,0.472,0.381,22983.33
131.81167415214742,2,concrete,1041.942282937098,58.1,loamy,8.088664485555123,0.8545007488455217,0.901,123796.32,111751.63,111.752,98.55,1.134,0.3848,86286.64
164.3079947997246,1,metal,669.5100028734122,34.3,sandy,9.952396046670112,0.5199571274530119,0.966,106212.61,103295.2,103.295,49.275,2.096,0.4425,83407.92
130.28209687139824,1,tiles,1176.7152071282424,10.0,loamy,1.4995476677905533,1.0086203845214181,0.773,118445.04,102947.15,102.947,49.275,2.089,0.5406,80838.76
113.06110305670556,3,asphalt,1266.5250330742078,77.5,sandy,10.738418958460652,0.6838465979029353,0.933,133618.99,102665.78,102.666,147.825,0.695,0.3175,77905.58
101.93377826464267,2,concrete,807.8267064812584,62.6,sandy,4.796250400713923,0.5139075861607656,0.917,75531.14,67760.55,67.761,98.55,0.688,0.3864,55849.71
31.288680577954352,6,tiles,1221.3493115007445,58.6,sandy,1.3959206678739213,1.4777969450852,0.787,30089.92,26220.65,26.221,295.65,0.089,0.3767,23861.26
76.80934749631749,2,concrete,220.21780844694388,76.7,clay,7.279063243648111,0.5888640757097019,0.878,14854.57,12232.55,12.233,98.55,0.124,0.2809,21172.61
92.36167374241275,2,concrete,100.0,33.8,sandy,9.98191511258871,1.702269498200102,0.931,8597.12,6389.45,6.389,98.55,0.065,0.2744,18069.84
183.42733357313494,2,tiles,1191.4761052430026,58.0,loamy,3.6840605741707027,0.6426740055766316,0.787,172042.95,156132.21,156.132,98.55,1.584,0.4734,118489.48
140.6170973741077,6,metal,752.3294908930579,18.1,sandy,1.1413618095159328,0.24851905250006434,0.959,101435.16,81082.57,81.083,295.65,0.274,0.395,67711.25
14.217590678235965,1,concrete,1671.2798775112942,56.4,rocky,2.3728329378772353,1.2625274660508419,0.905,21498.83,15042.27,15.042,49.275,0.305,0.3081,15802.56
139.44503816368768,4,metal,867.5009890118132,3.1,loamy,2.6365705443730034,0.7766122990862574,0.941,113834.71,94437.11,94.437,197.1,0.479,0.3944,76722.33
96.89506317502101,4,metal,549.9016911114843,11.9,clay,3.7145836878744563,0.209590767949419,0.902,48040.75,38946.31,38.946,197.1,0.198,0.3286,39510.72
